questions,label
How do I apply for admission?,admission
What documents are required for enrollment?,admission
What are the admission requirements for freshmen?,admission
Is there an entrance exam for admission?,admission
Is there an interview during admission?,admission
Can I apply online for admission?,admission
What is the deadline for submitting admission documents?,admission
Are foreign students allowed to apply?,admission
How much is the admission fee?,admission
Can I change my course after admission?,admission
What happens if I miss the enrollment deadline?,admission
Do I need a recommendation letter for admission?,admission
How will I know if my admission is approved?,admission
Can transferees apply for admission?,admission
What are the requirements for returning students?,admission
Is there a reservation fee after admission approval?,admission
Can I defer my admission to next semester?,admission
Where do I submit my admission documents?,admission
Are there age limits for admission?,admission
Who can I contact for admission concerns?,admission

What scholarships are available?,scholarships
What is the grade requirement to maintain a scholarship?,scholarships
Are scholarships renewed every semester?,scholarships
Can I lose my scholarship due to absences?,scholarships
Is there a financial assistance program available?,scholarships
Do scholars need to render service hours?,scholarships
Can graduating students still apply for scholarships?,scholarships
How many scholars are accepted each year?,scholarships
Is there an application fee for scholarships?,scholarships
Are academic and athletic scholarships different?,scholarships
Who evaluates scholarship applications?,scholarships
Can I apply for multiple scholarships at once?,scholarships
Are scholarships based on academic performance only?,scholarships
Is there a maintaining GPA for scholars?,scholarships
Can scholarships cover full tuition?,scholarships
Do scholarships include miscellaneous fees?,scholarships
How do I renew my scholarship?,scholarships
Can irregular students apply for scholarships?,scholarships
Are scholarships transferable to another student?,scholarships
When is the scholarship application period?,scholarships

What is considered academic dishonesty?,disciplinary
What happens if I cheat during an exam?,disciplinary
Is using a cellphone during exams a violation?,disciplinary
Can tardiness be considered an offense?,disciplinary
What happens if I disrespect a teacher?,disciplinary
Are dress code violations punishable?,disciplinary
How are minor offenses documented?,disciplinary
Can students report violations anonymously?,disciplinary
What office handles student misconduct?,disciplinary
Are online misconduct cases included?,disciplinary
Does vandalism count as a major offense?,disciplinary
What penalty is given for first-time minor offenses?,disciplinary
Can I be expelled for repeated violations?,disciplinary
Is community service part of disciplinary actions?,disciplinary
Are disciplinary actions recorded in my student file?,disciplinary
Can disciplinary records be cleared?,disciplinary
How soon are penalties implemented after decision?,disciplinary
Who approves expulsion decisions?,disciplinary
Is probation considered a disciplinary action?,disciplinary
Can disciplinary action prevent participation in activities?,disciplinary
What is the maximum penalty for major offenses?,disciplinary
Can I appeal a disciplinary decision?,disciplinary
What are the consequences of plagiarism?,disciplinary
Is fighting inside campus a punishable offense?,disciplinary
What happens if I violate school policies repeatedly?,disciplinary

What are the guiding principles of CSR?,identity
What values define a Ritarian learner?,identity
What is the educational philosophy of the institution?,identity
When was CSR founded?,identity
Who are the founders of CSR?,identity
What is the meaning of the school motto?,identity
How does CSR form integral learners?,identity
What is the spiritual foundation of CSR?,identity
What is the long-term vision of the institution?,identity
How does the mission guide student formation?,identity
What are the core values of the institution?,identity
What is the history of CSR?,identity
What makes CSR different from other schools?,identity
What religious affiliation does CSR have?,identity
What is the institutional mission statement?,identity
How does CSR promote holistic development?,identity
What traditions are practiced in CSR?,identity
What is the institutional vision?,identity
How does CSR support moral development?,identity
What is the institutional identity of CSR?,identity

What GPA is required for Latin honors?,latin_honors
How do I qualify for Latin honors?,latin_honors
What are the categories of Latin honors?,latin_honors
Is there a minimum residency requirement for Latin honors?,latin_honors
Are transfer students eligible for Latin honors?,latin_honors
Does disciplinary record affect Latin honors?,latin_honors
How is Latin honors computed?,latin_honors
When are Latin honors announced?,latin_honors
Do summer classes affect Latin honors eligibility?,latin_honors
Is there an appeal process for Latin honors?,latin_honors
Can failing grades disqualify me from Latin honors?,latin_honors
What is the minimum GPA for Cum Laude?,latin_honors
What is required for Magna Cum Laude?,latin_honors
What is required for Summa Cum Laude?,latin_honors
Do repeated subjects affect Latin honors?,latin_honors

How much percent tuition discount does 2nd rank in Senior High receive?,tuition
What are the tuition fees per semester?,tuition
Is there an installment plan for tuition?,tuition
Are there penalties for late tuition payment?,tuition
Can tuition fees be refunded?,tuition
What is the refund policy for enrollment cancellation?,tuition
Are miscellaneous fees included in tuition?,tuition
Is there a down payment required for tuition?,tuition
Can tuition be paid online?,tuition
Are laboratory fees separate from tuition?,tuition
Do scholars pay miscellaneous fees?,tuition
Is tuition different for foreign students?,tuition
When is the tuition payment deadline?,tuition
Are tuition fees subject to increase?,tuition
Who can I contact regarding tuition concerns?,tuition
